# I kekahi lā me Makana = A day with Makana,,,,,,,
8,.,.,PUNCT,PUNCT,,.,
,,,,,,,
# “He honu ‘u‘uku ka‘u...” = I have a little honu.,,,,,,,
1,“,“,PUNCT,PUNCT,,,
2,He,He,VERB,DET,AH!,,
3,honu,honu,NOUN,NOUN,,,
4,ʻuʻuku,ʻuʻuku,ADJ,ADJ,,,
5,kaʻu,kaʻu,PRON,ADJ,AH!,,
6,.,.,PUNCT,PUNCT,,,
7,.,.,PUNCT,PUNCT,,,
8,.,.,PUNCT,PUNCT,,,
9,”,”,PUNCT,PUNCT,,,
,,,,,,,
# “Holo aku ‘elima mau honu ‘u‘uku e pā‘ani. = Five little honu went out to play.,,,,,,,
1,“,“,PUNCT,PUNCT,,,
2,Holo,Holo,VERB,VERB,,,
3,aku,aku,VERB,PART,AH!,// directional particle,
4,ʻelima,ʻelima,NUM,ADJ,AH!,,
5,mau,mau,PART,PART,,,
6,honu,honu,NOUN,NOUN,,,
7,ʻuʻuku,ʻuʻuku,ADJ,ADJ,,,
8,e,e,PART,PART,,,
9,pāʻani,pāʻani,VERB,VERB,,,
10,.,.,PUNCT,PUNCT,,,
,,,,,,,
"# Holo aku, holo aku ma ‘ō aku nō...” = Swimming, swimming, far away...""",,,,,,,
1,Holo,Holo,VERB,VERB,,,
2,aku,aku,VERB,PART,AH!,// directional particle,
3,",",",",PUNCT,PUNCT,,,
4,holo,holo,VERB,VERB,,,
5,aku,aku,VERB,PART,AH!,// directional particle,
6,ma,ma,ADP,PART,AH!,,
7,ʻō,ʻō,NOUN,PART,AH!,,
8,aku,aku,VERB,ADV,AH!,// directional particle,
9,nō,nō,ADV,PART,AH!,,
10,.,.,PUNCT,PUNCT,,,
11,.,.,PUNCT,PUNCT,,,
12,.,.,PUNCT,PUNCT,,,
13,”,”,PUNCT,PUNCT,,,
,,,,,,,
"# E nānā, ua loaʻa nā palewāwae ia‘u. = Look, I found my slippers.",,,,,,,
1,E,E,PART,PART,,,
2,nānā,nānā,VERB,VERB,,,
3,",",",",PUNCT,PUNCT,,,
4,ua,ua,PART,PART,,,
5,loaʻa,loaʻa,VERB,VERB,,,
6,nā,nā,DET,PART,AH!,,
7,palewāwae,palewāwae,NOUN,NOUN,,,
8,iaʻu,iaʻu,PRON,PRON,,,
9,.,.,PUNCT,PUNCT,,,
,,,,_,AH!,// ken end,
"# Wāwae hema, Wāwae ʻākau = Left foot, Right foot",,,,_,AH!,,
1,Wāwae,Wāwae,NOUN,_,AH!,Foot,
2,hema,hema,ADJ,_,AH!,Left,
3,",",",",PUNCT,_,AH!,,
4,Wāwae,Wāwae,NOUN,_,AH!,Foot,
5,ʻākau,ʻākau,ADJ,_,AH!,Right,
,,,,_,AH!,,
# ʻAneʻane pau ke kula. = School is almost over.,,,,_,AH!,,
1,ʻAneʻane,ʻAneʻane,ADV,_,AH!,Almost,
2,pau,pau,VERB,_,AH!,Finish,
3,ke,ke,DET,_,AH!,The,
4,kula,kula,NOUN,_,AH!,School,
5,.,.,PUNCT,_,AH!,,
,,,,_,AH!,,
# Kali ʻo Makana i ke kaʻa ʻōhua me Mahina. = Makana waits for the bus with Mahina.,,,,_,AH!,,
1,Kali,Kali,VERB,_,AH!,Wait,
2,ʻo,ʻo,PART,_,AH!,,
3,Makana,Makana,PROPN,_,AH!,,
4,i,i,PART,_,AH!,,
5,ke,ke,DET,_,AH!,The,Article
6,kaʻa,kaʻa,NOUN,_,AH!,Bus,
7,ʻōhua,ʻōhua,PUNCT,_,AH!,,
8,me,me,ADP,_,AH!,With,Preposition
9,Mahina,Mahina,PROPN,_,AH!,,
10,.,.,PUNCT,_,AH!,,
,,,,_,AH!,,
"# ʻŌlelo mai ʻo Mahina, “E hoʻopaʻa i koʻu lima.” = ""Hold my hand,"" says Mahina.",,,,_,AH!,,
1,ʻŌlelo,ʻŌlelo,VERB,VERB,,To Speak,
2,mai,mai,PART,PART,,,Directional particle towards the speaker (Opposite of akula)
3,ʻo,ʻo,PART,PART,,,
4,Mahina,Mahina,PROPN,PROPN,,,
5,",",",",PUNCT,PUNCT,,,
6,“,“,PUNCT,PUNCT,,,
7,E,E,PART,PART,,,
8,hoʻopaʻa,hoʻopaʻa,VERB,VERB,,Hold,
9,i,i,PART,PART,,,
10,koʻu,koʻu,ADJ,PRON,AH!,"Mine / ""of me""",
11,lima,lima,NOUN,NOUN,,Hand,
12,.,.,PUNCT,PUNCT,,,
13,”,”,PUNCT,PUNCT,,,
,,,,_,AH!,,
"# “He hoa ʻoe noʻu,” pane akula ʻo Makana. = ""You are my friend,"" says Makana.",,,,_,AH!,,
1,“,“,PUNCT,PUNCT,,,
2,He,He,DET,DET,,,
3,hoa,hoa,NOUN,NOUN,,Friend,
4,ʻoe,ʻoe,PRON,PRON,,You,
5,noʻu,noʻu,NOUN,NOUN,,Mine,Possesive
6,",",",",PUNCT,PUNCT,,,
7,”,”,PUNCT,PUNCT,,,
8,pane,pane,VERB,ADJ,AH!,To Speek? (Or Prepare to speak),
9,akula,akula,PART,VERB,AH!,,Particle expressing direction away from the speaker
10,ʻo,ʻo,PART,PART,,,
11,Makana,Makana,PROPN,PROPN,,,
12,.,.,PUNCT,PUNCT,,,
,,,,,,,
# Aloha. A hui hou kākou. = Goodbye. Until we meet again.,,,,,,,
1,Aloha,Aloha,INTJ,INTJ,,,
2,.,.,PUNCT,PUNCT,,,
3,A,A,ADP,ADP,,Until,(Preposition?)
4,hui,hui,VERB,VERB,,hui (to meet),
5,hou,hou,INTJ,INTJ,,,
6,kākou,kākou,PRON,PRON,,,
7,.,.,PUNCT,PUNCT,,,
